,Country,Obesity,Overweight,Mortality per 100.000,Alcohol Consumed,latitude,longitude,geometry
65,Greece,21.5725490196078,58.7254901960784,402.594117647059,10.478431372549,38.9953683,21.9877132,Ελλάς
66,Grenada,17.1,45.8588235294118,684.817647058823,8.45294117647059,12.1360374,-61.6904045,Grenada
67,Guatemala,16.6686274509804,50.2,534.827450980392,2.12941176470588,15.6871007,-90.1226545317802,Guatemala
68,Guinea,5.45098039215686,22.2078431372549,672.219607843137,0.862745098039216,10.7226226,-10.7083587,Guinée
69,Guinea-Bissau,6.60588235294118,24.5392156862745,785.21568627451,4.98627450980392,12.100035,-14.9000214,Guiné-Bissau
70,Guyana,15.7039215686275,43.4529411764706,847.796078431372,6.50980392156863,4.8417097,-58.6416891,Guyana
71,Haiti,16.2411764705882,46.0352941176471,893.196078431373,3.45686274509804,19.1399952,-72.3570972,Ayiti
72,Honduras,16.7196078431373,49.5823529411765,599.094117647059,3.7078431372549,15.2572432,-86.0755145,Honduras
73,Hungary,22.7019607843137,57.5490196078431,674.001960784314,13.4372549019608,47.1817585,19.5060937,Magyarország
74,Iceland,18.8882352941176,56.2725490196078,345.337254901961,7.80980392156863,64.9841821,-18.1059013,Ísland
75,India,2.61764705882353,15.6862745098039,619.964705882353,3.58235294117647,22.3511148,78.6677428,India
76,Indonesia,4.46274509803922,22.0196078431373,689.992156862745,0.458823529411765,-2.4833826,117.8902853,Indonesia
77,Iran (Islamic Republic of),21.0450980392157,55.7549019607843,504.062745098039,1.01764705882353,-35.3051067,149.113499319105,"Site for the Embassy of the Islamic Republic of Iran, Yarralumla, Canberra, District of Canberra Central, Australian Capital Territory, 2600, Australia"
78,Iraq,25.9098039215686,60.0235294117647,657.682352941177,0.427450980392157,33.0955793,44.1749775,العراق
79,Ireland,20.4803921568627,55.9156862745098,412.027450980392,13.6627450980392,52.865196,-7.9794599,Éire / Ireland
80,Israel,23.5392156862745,61.6137254901961,357.874509803921,3.25686274509804,31.5313113,34.8667654,ישראל
81,Italy,17.4058823529412,55.0803921568627,355.93137254902,8.5156862745098,42.6384261,12.674297,Italia
82,Jamaica,19.9705882352941,49.5274509803922,441.990196078431,4.02352941176471,18.1850507,-77.3947693,Jamaica
